COG	COG term
COG0001	[H] COG0001 Glutamate-1-semialdehyde aminotransferase
COG0002	[E] COG0002 Acetylglutamate semialdehyde dehydrogenase
COG0003	[P] COG0003 Oxyanion-translocating ATPase
COG0004	[P] COG0004 Ammonia permease
COG0005	[F] COG0005 Purine nucleoside phosphorylase
COG0006	[E] COG0006 Xaa-Pro aminopeptidase
COG0007	[H] COG0007 Uroporphyrinogen-III methylase
COG0008	[J] COG0008 Glutamyl- and glutaminyl-tRNA synthetases
COG0009	[J] COG0009 Putative translation factor (SUA5)
COG0010	[E] COG0010 Arginase/agmatinase/formimionoglutamate hydrolase, arginase family
COG0011	[S] COG0011 Uncharacterized conserved protein
COG0012	[J] COG0012 Predicted GTPase, probable translation factor
COG0013	[J] COG0013 Alanyl-tRNA synthetase
COG0014	[E] COG0014 Gamma-glutamyl phosphate reductase
COG0015	[F] COG0015 Adenylosuccinate lyase
COG0016	[J] COG0016 Phenylalanyl-tRNA synthetase alpha subunit
COG0017	[J] COG0017 Aspartyl/asparaginyl-tRNA synthetases
COG0018	[J] COG0018 Arginyl-tRNA synthetase
COG0019	[E] COG0019 Diaminopimelate decarboxylase
COG0020	[I] COG0020 Undecaprenyl pyrophosphate synthase
COG0021	[G] COG0021 Transketolase
COG0022	[C] COG0022 Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit
COG0023	[J] COG0023 Translation initiation factor 1 (eIF-1/SUI1) and related proteins
COG0024	[J] COG0024 Methionine aminopeptidase
COG0025	[P] COG0025 NhaP-type Na+/H+ and K+/H+ antiporters
COG0026	[F] COG0026 Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0027	[F] COG0027 Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
COG0028	[EH] COG0028 Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]
COG0029	[H] COG0029 Aspartate oxidase
COG0030	[J] COG0030 Dimethyladenosine transferase (rRNA methylation)
COG0031	[E] COG0031 Cysteine synthase
COG0033	[G] COG0033 Phosphoglucomutase
COG0034	[F] COG0034 Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	[F] COG0035 Uracil phosphoribosyltransferase
COG0036	[G] COG0036 Pentose-5-phosphate-3-epimerase
COG0037	[D] COG0037 Predicted ATPase of the PP-loop superfamily implicated in cell cycle control
COG0038	[P] COG0038 Chloride channel protein EriC
COG0039	[C] COG0039 Malate/lactate dehydrogenases
COG0040	[E] COG0040 ATP phosphoribosyltransferase
COG0041	[F] COG0041 Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	[J] COG0042 tRNA-dihydrouridine synthase
COG0043	[H] COG0043 3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases
COG0044	[F] COG0044 Dihydroorotase and related cyclic amidohydrolases
COG0045	[C] COG0045 Succinyl-CoA synthetase, beta subunit
COG0046	[F] COG0046 Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0047	[F] COG0047 Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
COG0048	[J] COG0048 Ribosomal protein S12
COG0049	[J] COG0049 Ribosomal protein S7
COG0050	[J] COG0050 GTPases - translation elongation factors
COG0051	[J] COG0051 Ribosomal protein S10
COG0052	[J] COG0052 Ribosomal protein S2
COG0053	[P] COG0053 Predicted Co/Zn/Cd cation transporters
COG0054	[H] COG0054 Riboflavin synthase beta-chain
COG0055	[C] COG0055 F0F1-type ATP synthase, beta subunit
COG0056	[C] COG0056 F0F1-type ATP synthase, alpha subunit
COG0057	[G] COG0057 Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0058	[G] COG0058 Glucan phosphorylase
COG0059	[EH] COG0059 Ketol-acid reductoisomerase
COG0060	[J] COG0060 Isoleucyl-tRNA synthetase
