ClutserID	Streptococcus_pneumoniae_CGSP14	Streptococcus_pneumoniae_G54	Streptococcus_pneumoniae_R6	Streptococcus_pneumoniae_Hungary19A-6	Streptococcus_pneumoniae_P1031	Streptococcus_pneumoniae_TCH8431-19A
1	ACB89328.1,ACB90981.1,ACB91055.1,ACB90096.1,ACB89716.1,ACB89917.1,ACB91332.1,ACB90244.1,ACB89774.1,ACB91339.1,ACB91120.1,ACB89983.1	-	-	ACA35536.1,ACA36128.1,ACA35579.1,ACA36662.1,ACA37380.1,ACA36740.1,ACA37561.1,ACA35499.1,ACA35988.1,ACA35512.1,ACA36338.1,ACA37426.1,ACA37319.1,ACA36992.1,ACA37251.1,ACA35734.1,ACA36954.1,ACA37500.1	ACO20608.1,ACO20784.1,ACO22153.1,ACO20693.1,ACO20333.1,ACO21961.1,ACO20653.1,ACO20912.1,ACO21362.1,ACO21689.1,ACO22158.1,ACO20735.1,ACO20892.1,ACO20755.1,ACO21041.1,ACO21871.1,ACO21672.1,ACO21237.1,ACO21529.1,ACO21391.1,ACO20277.1,ACO21115.1	ADI68549.1,ADI68684.1,ADI69418.1,ADI68593.1,ADI68386.1,ADI69081.1,ADI69009.1,ADI68342.1,ADI70189.1,ADI69464.1,ADI68585.1,ADI70352.1,ADI68811.1,ADI68349.1,ADI68955.1,ADI69978.1,ADI69939.1,ADI69150.1,ADI68657.1,ADI69528.1,ADI69826.1,ADI70043.1,ADI68355.1,ADI70072.1
2	ACB90450.1,ACB90118.1,ACB90367.1,ACB91111.1,ACB90400.1,ACB89614.1,ACB90735.1,ACB89706.1,ACB90060.1,ACB89386.1,ACB90982.1,ACB91230.1,ACB90865.1,ACB91132.1,ACB89269.1	ACF56858.1,ACF56050.1,ACF56496.1,ACF55474.1,ACF56736.1,ACF55131.1,ACF55587.1,ACF56228.1,ACF55611.1	AAK99813.1,AAK98846.1,AAL00478.1,AAK99792.1,AAK99571.1,AAL00504.1,AAK98833.1,AAL00524.1,AAK98845.1,AAK98823.1,AAK98937.1	ACA36874.1,ACA36900.1,ACA35675.1,ACA37196.1,ACA37024.1,ACA36422.1	-	ADI69329.1,ADI69608.1,ADI69631.1,ADI68994.1,ADI68427.1,ADI69577.1,ADI69719.1,ADI70339.1,ADI68544.1,ADI68983.1,ADI68667.1,ADI68534.1
3	ACB91360.1,ACB90444.1,ACB89757.1,ACB90167.1,ACB90355.1,ACB91298.1,ACB91155.1,ACB90953.1,ACB90376.1	ACF54939.1,ACF55167.1,ACF56729.1,ACF55004.1,ACF55957.1,ACF56136.1,ACF55480.1,ACF55315.1,ACF56481.1,ACF55627.1	AAK99798.1,AAK99881.1,AAK98843.1,AAK99645.1,AAL00376.1,AAL00749.1,AAL00693.1,AAL00548.1,AAL00001.1	ACA36376.1,ACA35548.1,ACA36464.1,ACA37449.1,ACA37095.1,ACA36090.1	ACO20607.1,ACO20422.1,ACO22030.1,ACO21078.1,ACO21677.1,ACO21411.1,ACO20947.1,ACO21850.1,ACO20861.1	ADI69624.1,ADI70391.1,ADI68555.1,ADI70400.1,ADI69533.1,ADI69063.1,ADI68368.1,ADI68305.1,ADI70200.1
4	ACB90699.1,ACB90017.1,ACB89699.1,ACB90313.1,ACB89823.1,ACB89911.1	ACF55363.1,ACF56621.1,ACF54813.1,ACF55411.1,ACF56261.1,ACF54945.1	AAL00118.1,AAK99532.1,AAK99212.1,AAK99924.1,AAK99340.1,AAK99426.1,AAK99339.1	ACA37596.1,ACA36593.1,ACA36487.1,ACA35961.1,ACA35666.1	ACO21707.1,ACO21425.1,ACO21461.1,ACO20901.1,ACO22135.1	ADI69312.1,ADI69896.1,ADI68973.1,ADI69487.1,ADI69128.1,ADI69218.1
5	ACB89279.1,ACB90826.1,ACB89788.1,ACB90046.1,ACB90209.1,ACB89642.1	ACF55267.1,ACF56602.1,ACF56389.1,ACF55288.1,ACF56215.1,ACF55207.1	AAK99558.1,AAL00250.1,AAL00143.1,AAK99156.1,AAK99689.1	ACA35999.1,ACA36252.1,ACA37450.1,ACA36860.1,ACA35597.1,ACA35496.1	ACO21803.1,ACO20932.1,ACO20159.1,ACO20795.1	ADI70056.1,ADI70080.1,ADI69869.1,ADI69906.1,ADI69093.1,ADI69735.1
6	ACB89705.1,ACB90368.1,ACB91112.1,ACB90401.1,ACB90734.1,ACB90451.1,ACB89613.1,ACB90117.1,ACB90059.1,ACB89385.1	ACF56018.1,ACF56300.1,ACF54954.1,ACF54896.1	AAL00505.1,AAK99812.1,AAL00479.1,AAK99790.1,AAK99570.1,AAK98936.1,AAL00519.1	-	ACO21240.1	ADI69610.1,ADI68428.1,ADI68993.1,ADI69633.1,ADI69721.1,ADI69327.1,ADI69578.1,ADI70341.1,ADI68666.1
7	ACB89548.1,ACB89531.1,ACB90095.1,ACB91342.1	ACF56347.1,ACF56343.1,ACF55388.1,ACF55317.1,ACF55180.1,ACF55959.1	-	ACA36350.1	ACO20534.1,ACO21369.1,ACO21754.1,ACO21628.1,ACO21569.1	ADI68610.1,ADI69221.1,ADI69226.1,ADI70110.1,ADI70342.1,ADI69509.1,ADI69050.1,ADI69819.1,ADI69358.1,ADI69287.1,ADI69947.1,ADI70503.1,ADI69668.1
8	ACB89266.1,ACB90221.1,ACB90399.1,ACB90013.1,ACB91234.1	ACF56681.1,ACF55559.1,ACF56435.1,ACF55918.1	AAL00631.1,AAK98818.1,AAK99117.1,AAK99526.1,AAK99842.1,AAK99702.1	ACA36957.1,ACA37199.1	ACO20458.1,ACO21636.1,ACO21401.1,ACO20808.1,ACO22219.1,ACO21758.1	ADI68239.1,ADI69718.1,ADI69903.1,ADI69575.1
9	ACB90445.1,ACB91359.1,ACB90168.1,ACB90130.1,ACB90954.1	ACF56124.1,ACF56373.1,ACF56037.1,ACF56033.1,ACF56746.1	AAK99646.1,AAL00748.1,AAK99882.1,AAL00377.1,AAK99797.1	ACA35776.1	ACO20517.1,ACO20938.1,ACO21756.1,ACO21571.1,ACO20751.1	ADI69815.1,ADI69532.1,ADI69062.1,ADI69625.1,ADI70201.1
10	ACB89789.1,ACB90043.1,ACB89645.1	ACF55759.1,ACF56518.1,ACF56131.1,ACF56066.1	AAL00252.1,AAK99302.1,AAL00145.1,AAK99159.1,AAK99555.1,AAK99690.1	ACA36582.1	ACO21313.1,ACO21804.1	ADI70058.1,ADI69871.1,ADI69095.1,ADI69908.1,ADI69734.1
